tac;make;model
35227605;HTC;Desire C
35437905;HTC;Desire C
35528206;HTC;Desire Eye
35629904;HTC;Desire HD
35681204;HTC;Desire HD
35221204;HTC;Desire Z
35412003;HTC;HD2
35266604;HTC;HD2
35798802;HTC;Hero
35431603;HTC;Legend
35405902;HTC;Magic
35443605;HTC;One (M7)
35940505;HTC;One (M7)
35786405;HTC;One (M7)
35871405;HTC;One M8
35787105;HTC;One M8
35803106;HTC;One M8S
35722606;HTC;One M9
35586605;HTC;One mini (M4)
35157406;HTC;One mini 2 (M8 mini)
35276205;HTC;One S
35280305;HTC;One SV
35181605;HTC;One V
35918804;HTC;One X (S720e, HTC Endeavor)
35399505;HTC;One X (S720e, HTC Endeavor)
35911804;HTC;Sensation (Pyramid)
35831304;HTC;Sensation (Pyramid)
35644004;HTC;Sensation (Pyramid)
35961404;HTC;Sensation (Pyramid)
35311505;HTC;T320e One V (Primo)
35835502;HTC;Tattoo
35884502;HTC;Touch Pro 2
35579704;HTC;Wildfire
35902803;HTC;Wildfire
35469204;HTC;Wildfire
35946504;HTC;Wildfire S
35870104;HTC;Wildfire S
35780504;HTC;Wildfire S
35896804;HTC;Wildfire S
35543004;HTC;Wildfire S
35822504;HTC;Wildfire S
35376005;HTC;Windows 8S (Rio)
35356905;HTC;Windows Phone 8X
86396202;Huawei;Ascend G330
86849601;Huawei;Ascend G510
86347102;Huawei;Ascend G510
86310201;Huawei;Ascend P1
86189501;Huawei;Ascend Y200
86809601;Huawei;Ascend Y210
86956301;Huawei;Ascend Y530
35314704;Huawei;E 372 Dual Carrier Stick
86257002;Huawei;E3131s-2
35551304;Huawei;E353
86122901;Huawei;G300 (Ascend)
35736804;Huawei;Media Pad
86439002;Huawei;MediaPad 7
86726300;Huawei;VIP WEB Cube (B183)
35868804;LG E510 (Optimus Hub)
35652504;LG Electronics LG-P350
35987206;LG;G 4
35994905;LG;G Flex
35837906;LG;G Flex 2
35466506;LG;G Pad 8.0 LTE
35531611;LG;G Pad 8.3 WiFi beli
35863505;LG;G2
35419806;LG;G2
35724605;LG;G2
35342706;LG;G2 mini
35415306;LG;G3
35567306;LG;G3
35751306;LG;G3
35220204;LG;GM360 (LG Bali)
35672704;LG;GM360 (LG Bali)
35928903;LG;GS290
35953106;LG;Joy
35342601;LG;KE850 PRADA
35162404;LG;KS365
35606206;LG;L Bello (D331)
35463806;LG;L50
35226906;LG;L70
35410906;LG;L80
35213606;LG;Nexus 5
35349006;LG;Nexus 5
35711604;LG;Optimus 3D
35189505;LG;Optimus L3 (E400)
35565605;LG;Optimus L3 (E400)
35485105;LG;Optimus L3 (E400)
35734105;LG;Optimus L3 (E400)
35301605;LG;Optimus L3 (E400)
35649005;LG;Optimus L4 II (E440)
35263606;LG;Optimus L4 II (E440)
35308905;LG;Optimus L5 (E610)
35570705;LG;Optimus L5 (E610)
35358405;LG;Optimus L5 (E610)
35734205;LG;Optimus L5 (E610)
35513305;LG;Optimus L5 II (E460)
35856805;LG;Optimus L5 II (E460)
35224805;LG;Optimus L7
35533205;LG;Optimus L7
35611605;LG;Optimus L7 II (P710)
35364805;LG;Optimus L9
35864805;LG;Optimus L9
35837905;LG;Optimus L9 II
35979804;LG;Prada
35881906;LG;Spirit
35797805;LG;T30
35531605;LG;T385
35232505;LG;T385
35777806;Microsoft;Lumia 640
35948904;Motorola;Gleam+
35191305;Motorola;Motoluxe
35652104;Motorola;Razr
35957605;Nokia;100
35550205;Nokia;100
35729005;Nokia;100
35670705;Nokia;100
35194205;Nokia;100
35458605;Nokia;100
35325405;Nokia;100
35367405;Nokia;100
35194105;Nokia;100
35410305;Nokia;100
35725905;Nokia;100
35326805;Nokia;100
35412405;Nokia;100
35194305;Nokia;100
35194005;Nokia;100
35547605;Nokia;100
35165605;Nokia;100
35590905;Nokia;100
35632005;Nokia;100
35975604;Nokia;100
35634505;Nokia;100
35668505;Nokia;100
35366706;Nokia;106 
35576206;Nokia;106 
35574006;Nokia;106 
35235506;Nokia;106 
35459405;Nokia;113
35593705;Nokia;113
35519805;Nokia;113
35996305;Nokia;113
35812105;Nokia;113
35425506;Nokia;130
35976606;Nokia;130
35806601;Nokia;1600
35452901;Nokia;1600
35551801;Nokia;1600
35201704;Nokia;1616
35595104;Nokia;1616
35270404;Nokia;1616
35862104;Nokia;1616
35787604;Nokia;1616
35930804;Nokia;1616
35272304;Nokia;1616
35863304;Nokia;1616
35904304;Nokia;1616
35826404;Nokia;1616
35538804;Nokia;1616
35595304;Nokia;1616
35487104;Nokia;1616
35483504;Nokia;1616
35826304;Nokia;1616
35863204;Nokia;1616
35539004;Nokia;1616
35595005;Nokia;201 (Asha)
35282905;Nokia;201 (Asha)
35327605;Nokia;201 (Asha)
35455805;Nokia;201 (Asha)
35518605;Nokia;201 (Asha)
35727305;Nokia;201 (Asha)
35826004;Nokia;201 (Asha)
35895405;Nokia;206
35999005;Nokia;206
35670205;Nokia;206
35632605;Nokia;210 (Asha)
35269404;Nokia;2220
35800903;Nokia;2220
35154804;Nokia;2220
35201104;Nokia;2220
35431404;Nokia;2220
35831203;Nokia;2220
35623904;Nokia;2220
35974704;Nokia;2220S
35425206;Nokia;225
35239506;Nokia;225
35781406;Nokia;225
35822703;Nokia;2330
35824903;Nokia;2330
35691103;Nokia;2330
35270104;Nokia;2330
35339804;Nokia;2330
35798303;Nokia;2330
35198204;Nokia;2330
35524803;Nokia;2330
35830303;Nokia;2330
35594704;Nokia;2330c
35394201;Nokia;2626
35626401;Nokia;2626
35955901;Nokia;2630
35930502;Nokia;2630
35642302;Nokia;2630
35206802;Nokia;2630
35206702;Nokia;2630
35956001;Nokia;2630
35206602;Nokia;2630
35151204;Nokia;2680 Slide
35523703;Nokia;2680s
35319403;Nokia;2680s
35690903;Nokia;2680s
35420703;Nokia;2680s
35687402;Nokia;2680s
35798103;Nokia;2680s
35575002;Nokia;2680s
35338704;Nokia;2690
35340904;Nokia;2690
35483704;Nokia;2690
35341004;Nokia;2690
35201004;Nokia;2690
35150104;Nokia;2700
35826203;Nokia;2700
35832403;Nokia;2700
35934403;Nokia;2700
35828303;Nokia;2700
35153204;Nokia;2700
35936003;Nokia;2700
35800803;Nokia;2700
35694603;Nokia;2700
35151704;Nokia;2700
35824103;Nokia;2700
35419203;Nokia;2700
35376904;Nokia;2710c
35524703;Nokia;2720
35827103;Nokia;2720
35935003;Nokia;2720
35152304;Nokia;2730
35487004;Nokia;2730
35378804;Nokia;2730
35198504;Nokia;2730
35339604;Nokia;2730
35623404;Nokia;2730
35434304;Nokia;2730
35202004;Nokia;2730
35593104;Nokia;2730
35376204;Nokia;2730
35831403;Nokia;2730
35741104;Nokia;2730
35937003;Nokia;2730
35626104;Nokia;2730c
35196405;Nokia;300 (RM-781, Asha)
35168605;Nokia;300 (RM-781, Asha)
35518005;Nokia;300 (RM-781, Asha)
35414505;Nokia;300 (RM-781, Asha)
35328605;Nokia;300 (RM-781, Asha)
35242705;Nokia;300 (RM-781, Asha)
35863004;Nokia;300 (RM-781, Asha)
35593505;Nokia;300 (RM-781, Asha)
35552005;Nokia;301
35833805;Nokia;301
35995605;Nokia;301
35174406;Nokia;301
35285405;Nokia;302 (RM-813, Asha)
35729305;Nokia;302 (RM-813, Asha)
35462205;Nokia;302 (RM-813, Asha)
35414605;Nokia;302 (RM-813, Asha)
35244805;Nokia;302 (RM-813, Asha)
35367105;Nokia;302 (RM-813, Asha)
35521005;Nokia;302 (RM-813, Asha)
35959105;Nokia;302 (RM-813, Asha)
35633505;Nokia;302 (RM-813, Asha)
35862904;Nokia;302 (RM-813, Asha)
35196905;Nokia;303
35166505;Nokia;303
35457605;Nokia;306 (Asha)
35519205;Nokia;306 (Asha)
35195505;Nokia;306 (Asha)
35867201;Nokia;3110c
35697501;Nokia;3110c
35483402;Nokia;3110c
35982901;Nokia;3110c
35607003;Nokia;3120
35419303;Nokia;3120c
35484902;Nokia;3120c
35310202;Nokia;3120c
35685102;Nokia;3120c
35974404;Nokia;500
35792404;Nokia;500
35241705;Nokia;500
35679702;Nokia;5000
35483802;Nokia;5000
35800703;Nokia;5030
35822903;Nokia;5130
35524603;Nokia;5130
35826803;Nokia;5130
35198704;Nokia;5130
35523203;Nokia;5130
35800603;Nokia;5130
35417903;Nokia;5130
35434404;Nokia;5130
35824503;Nokia;5130
35422303;Nokia;5130
35694403;Nokia;5130
35483104;Nokia;5130
35431704;Nokia;5130
35932902;Nokia;5130
35827603;Nokia;5130
35376104;Nokia;5130
35150804;Nokia;5130
35690803;Nokia;5130
35153804;Nokia;5130
35267804;Nokia;5130
35604003;Nokia;5130
35605303;Nokia;5130
35152104;Nokia;5130
35691903;Nokia;5130
35322303;Nokia;5130
35487304;Nokia;5130
35271504;Nokia;5228
35201404;Nokia;5230
35935103;Nokia;5230
35198804;Nokia;5230
35151404;Nokia;5230
35342404;Nokia;5230
35956201;Nokia;5310
35204502;Nokia;5310
35204402;Nokia;5310
35320403;Nokia;5310 XpressMusic
35419602;Nokia;5310 XpressMusic
35825303;Nokia;5530
35802203;Nokia;5530
35830703;Nokia;5530
35421603;Nokia;5800d
35522503;Nokia;5800d
35320503;Nokia;5800d
35603903;Nokia;5800d
35311702;Nokia;6124
35319103;Nokia;6300
35953801;Nokia;6300
35980901;Nokia;6300
35805201;Nokia;6300
35419903;Nokia;6300
35799903;Nokia;6300
35321503;Nokia;6300
35805101;Nokia;6300
35643701;Nokia;6300
35691403;Nokia;6303c
35800503;Nokia;6303c
35319903;Nokia;6303c
35538204;Nokia;6303c
35434504;Nokia;6303c
35154104;Nokia;6303c
35739404;Nokia;6303c
35150504;Nokia;6303c
35340204;Nokia;6303c
35933303;Nokia;6303c
35603603;Nokia;6303c
35486704;Nokia;6303c
35623504;Nokia;6303i
35827604;Nokia;6303i
35379704;Nokia;6303i
35268204;Nokia;6303i
35867501;Nokia;6500s
35318703;Nokia;6500s
35685402;Nokia;6500s
35572902;Nokia;6600 fold
35192603;Nokia;6600 fold
35269604;Nokia;6700
35828403;Nokia;6700
35152504;Nokia;6700
35823803;Nokia;6700
35694303;Nokia;6700
35318103;Nokia;6700
35536404;Nokia;6700
35379004;Nokia;6700
35421703;Nokia;6730c
35375604;Nokia;7230
35825803;Nokia;7230
35202104;Nokia;7230
35337704;Nokia;7230
35433704;Nokia;7230
35483204;Nokia;7230
35699304;Nokia;7230
35594604;Nokia;7230
35536504;Nokia;7230
35825804;Nokia;7230
35906804;Nokia;7230
35363901;Nokia;7390
35196505;Nokia;808
35628701;Nokia;8600
35228701;Nokia;8800
35933204;Nokia;C1-01
35974504;Nokia;C1-01
35788604;Nokia;C1-01
35864404;Nokia;C1-01
35740104;Nokia;C1-01
35906004;Nokia;C1-01
35596204;Nokia;C1-01
35242905;Nokia;C1-01
35976304;Nokia;C1-01
35861304;Nokia;C1-01
35284205;Nokia;C1-01
35791304;Nokia;C1-01
35788904;Nokia;C1-01
35697604;Nokia;C1-01
35862504;Nokia;C1-01
35932304;Nokia;C1-01
35828104;Nokia;C1-01
35193705;Nokia;C1-01
35904004;Nokia;C1-01
35702104;Nokia;C1-01
35698404;Nokia;C1-01
35595004;Nokia;C1-01
35379904;Nokia;C1-01
35700904;Nokia;C1-01
35365105;Nokia;C1-01
35326205;Nokia;C1-01
35328305;Nokia;C1-01
35195705;Nokia;C1-01
35367505;Nokia;C1-01
35934404;Nokia;C1-01
35241905;Nokia;C1-01
35167905;Nokia;C1-01
35791104;Nokia;C2-01
35935004;Nokia;C2-01
35594004;Nokia;C2-01
35860704;Nokia;C2-01
35165905;Nokia;C2-01
35701204;Nokia;C2-01
35193605;Nokia;C2-01
35244505;Nokia;C2-01
35931804;Nokia;C2-01
35737604;Nokia;C2-01
35741804;Nokia;C2-01
35865004;Nokia;C2-01
35907504;Nokia;C2-01
35668805;Nokia;C2-01
35550605;Nokia;C2-01
35326005;Nokia;C2-01
35329005;Nokia;C2-01
35929204;Nokia;C2-02
35864104;Nokia;C2-02
35975804;Nokia;C2-02
35700504;Nokia;C2-02
35860804;Nokia;C3
35930104;Nokia;C3
35596604;Nokia;C3
35933504;Nokia;C3
35738604;Nokia;C3
35790204;Nokia;C3
35827504;Nokia;C3
35976104;Nokia;C3
35624704;Nokia;C3
35193505;Nokia;C3
35697904;Nokia;C3
35740804;Nokia;C3
35593304;Nokia;C3
35788404;Nokia;C3
35166405;Nokia;C3
35906604;Nokia;C3
35792104;Nokia;C3
35903604;Nokia;C3
35974204;Nokia;C3
35700404;Nokia;C3
35862804;Nokia;C3
35535604;Nokia;C3
35536604;Nokia;C3
35484404;Nokia;C3
35485804;Nokia;C3
35740004;Nokia;C3-01
35701904;Nokia;C3-01
35626804;Nokia;C3-01
35829904;Nokia;C3-01
35169805;Nokia;C3-01
35830603;Nokia;C3-01
35535804;Nokia;C5
35484704;Nokia;C5
35375704;Nokia;C5
35597004;Nokia;C5
35433004;Nokia;C5
35829604;Nokia;C5-00
35411505;Nokia;C5-00 5 MP
35700604;Nokia;C5-00 5 MP
35168505;Nokia;C5-00 5 MP
35327505;Nokia;C5-00 5 MP
35932904;Nokia;C5-00 5 MP
35903904;Nokia;C5-00 5 MP
35464005;Nokia;C5-00 5 MP
35242105;Nokia;C5-00 5 MP
35434904;Nokia;C5-03
35862004;Nokia;C5-03
35699204;Nokia;C5-03
35702204;Nokia;C5-03
35792504;Nokia;C5-03
35905604;Nokia;C5-03
35150304;Nokia;C6-00
35483904;Nokia;C6-00
35539804;Nokia;C6-00
35826104;Nokia;C7
35596004;Nokia;C7
35625204;Nokia;C7
35537904;Nokia;C7
35739504;Nokia;C7
35375504;Nokia;C7
35594904;Nokia;E5
35521603;Nokia;E52
35199604;Nokia;E52
35521703;Nokia;E55
35487504;Nokia;E6
35165805;Nokia;E6
35187901;Nokia;E61i
35486404;Nokia;E7
35194003;Nokia;E71
35292402;Nokia;E71
35420803;Nokia;E71
35605903;Nokia;E71
35824003;Nokia;E71
35151304;Nokia;E72
35523903;Nokia;E72
35597404;Nokia;E72
35484804;Nokia;E72
35378404;Nokia;E72
35272404;Nokia;E72-1
35955701;Nokia;E75
35365901;Nokia;E90
35920505;Nokia;Lumia 520
35173706;Nokia;Lumia 520
35996505;Nokia;Lumia 520
35999405;Nokia;Lumia 520
35239406;Nokia;Lumia 520
35899505;Nokia;Lumia 520
35424906;Nokia;Lumia 520
35835205;Nokia;Lumia 520
35307106;Nokia;Lumia 520
35810605;Nokia;Lumia 520
35362606;Nokia;Lumia 530
35647606;Nokia;Lumia 530
35574206;Nokia;Lumia 535
35975206;Nokia;Lumia 535
35634705;Nokia;Lumia 620 (Sapphire)
35671505;Nokia;Lumia 620 (Sapphire)
35303506;Nokia;Lumia 625
35516506;Nokia;Lumia 630
35303806;Nokia;Lumia 630
35713806;Nokia;Lumia 630
35426506;Nokia;Lumia 735
35410505;Nokia;Lumia 820
35594105;Nokia;Lumia 820
35414905;Nokia;Lumia 920
35635505;Nokia;Lumia 920
35671705;Nokia;Lumia 925
35173406;Nokia;Lumia 925
35363306;Nokia;Lumia 930
35696301;Nokia;N70
35699201;Nokia;N70
35863701;Nokia;N70
35552101;Nokia;N70
35765101;Nokia;N73
35643801;Nokia;N73
35626201;Nokia;N76
35693803;Nokia;N900
35324801;Nokia;N93i
35699601;Nokia;N95
35225501;Nokia;N95
35698301;Nokia;N95 8GB
35640602;Nokia;N96
35422503;Nokia;N97
35822603;Nokia;N97
35606403;Nokia;N97
35197904;Nokia;N97 mini
35536704;Nokia;X2
35931704;Nokia;X2
35623604;Nokia;X2
35903704;Nokia;X2
35827404;Nokia;X2
35739304;Nokia;X2
35269904;Nokia;X2
35165705;Nokia;X2
35593704;Nokia;X2
35934904;Nokia;X2
35789804;Nokia;X2
35485404;Nokia;X2
35193305;Nokia;X2
35434604;Nokia;X2
35242205;Nokia;X2
35329605;Nokia;X2
35797703;Nokia;X3
35379604;Nokia;X3
35200804;Nokia;X3
35153604;Nokia;X3
35377004;Nokia;X3
35340104;Nokia;X3
35936703;Nokia;X3
35864804;Nokia;X3-02
35604603;Nokia;X6
35342204;Nokia;X6
35412002;Onda Communication;MSA602HS
86325502;Alcatel;One Touch Pop C9
35475504;Samsung;B7350
35958603;Samsung;C3050
35768003;Samsung;C3050
35855303;Samsung;C3050
35218204;Samsung;C3050
35358203;Samsung;C3050
35552803;Samsung;C3050
35614605;Samsung;C3350
35837404;Samsung;C3350
35554905;Samsung;C3350
35954604;Samsung;C3520
35189106;Samsung;C3520
35640205;Samsung;C3520
35980005;Samsung;C3520
35826405;Samsung;C3520
35505706;Samsung;C3520
35927504;Samsung;C3520
35526105;Samsung;C3520
35673004;Samsung;C3750
35694604;Samsung;E1120
35879004;Samsung;E2121
35184905;Samsung;E2250
35526504;Samsung;E2330 Caruso
35923004;Samsung;E2600
35552905;Samsung;E2600
35657006;Samsung;Galaxy A3
02844800;Samsung;Galaxy A3
35946906;Samsung;Galaxy A5
35483205;Samsung;Galaxy Ace plus
35435705;Samsung;Galaxy Ace plus
35886604;Samsung;Galaxy Ace plus
35601006;Samsung;Galaxy Alpha
35261005;Samsung;Galaxy Beam (i8530)
35402305;Samsung;Galaxy Camera
35294105;Samsung;Galaxy Chat (B5330)
35465305;Samsung;Galaxy Chat (B5330)
35750905;Samsung;Galaxy Core (GT-I8260)
35982605;Samsung;Galaxy Core (GT-I8260)
35299406;Samsung;Galaxy Core (GT-I8260)
35369006;Samsung;Galaxy Core II
35853306;Samsung;Galaxy Core II
35936006;Samsung;Galaxy Core Prime
35607705;Samsung;Galaxy Fame
35954505;Samsung;Galaxy Fame
35273306;Samsung;Galaxy Fame Lite S6790
35923504;Samsung;Galaxy Fit
35363105;Samsung;Galaxy Fit
35170507;Samsung;Galaxy Grand Prime
35252506;Samsung;Galaxy K zoom
35923404;Samsung;Galaxy Mini (GT-S5570)
35679404;Samsung;Galaxy Mini (GT-S5570)
35555804;Samsung;Galaxy Mini (GT-S5570)
35610804;Samsung;Galaxy Mini (GT-S5570)
35299205;Samsung;Galaxy Mini 2 (S6500)
35205205;Samsung;Galaxy Mini 2 (S6500)
35155405;Samsung;Galaxy Nexus (I9250)
35216705;Samsung;Galaxy Note (N7000)
35954804;Samsung;Galaxy Note (N7000)
35182305;Samsung;Galaxy Note (N7000)
35371805;Samsung;Galaxy Note (N7000)
35177606;Samsung;Galaxy Note 3 (N9005)
35858805;Samsung;Galaxy Note 3 (N9005)
35299106;Samsung;Galaxy Note 3 (N9005)
35909305;Samsung;Galaxy Note 3 (N9005)
35282806;Samsung;Galaxy Note 3 (N9005)
35283206;Samsung;Galaxy Note 3 Neo LTE (SM-N7505)
35502506;Samsung;Galaxy Note 4
35638706;Samsung;Galaxy Note 4
35830206;Samsung;Galaxy Note Edge
35505605;Samsung;Galaxy Note II (N7100)
35525105;Samsung;Galaxy Note II (N7100)
35569605;Samsung;Galaxy Note II (N7100)
35626105;Samsung;Galaxy Note II (N7100)
35441605;Samsung;Galaxy Note Tab 8.0
35656405;Samsung;Galaxy Note Tab 8.0
35175104;Samsung;Galaxy S (I9000)
35479504;Samsung;Galaxy S (I9000)
35815004;Samsung;Galaxy S II (I9100)
35182205;Samsung;Galaxy S II (I9100)
35965104;Samsung;Galaxy S II (I9100)
35216605;Samsung;Galaxy S II (I9100)
35937204;Samsung;Galaxy S II (I9100)
35909004;Samsung;Galaxy S II (I9100)
35958504;Samsung;Galaxy S II (I9100)
35977804;Samsung;Galaxy S II (I9100)
35849004;Samsung;Galaxy S II (I9100)
35853704;Samsung;Galaxy S II (I9100)
35995904;Samsung;Galaxy S II (I9100)
35884804;Samsung;Galaxy S II (I9100)
35316305;Samsung;Galaxy S III
35397505;Samsung;Galaxy S III
35397605;Samsung;Galaxy S III
35381705;Samsung;Galaxy S III
35392105;Samsung;Galaxy S III
35599405;Samsung;Galaxy S III
35544905;Samsung;Galaxy S III
35372005;Samsung;Galaxy S III
35495305;Samsung;Galaxy S III
35424405;Samsung;Galaxy S III
35186905;Samsung;Galaxy S III
35644605;Samsung;Galaxy S III
35609605;Samsung;Galaxy S III
35697905;Samsung;Galaxy S III
35582905;Samsung;Galaxy S III
35316605;Samsung;Galaxy S III
35609805;Samsung;Galaxy S III Mini (I8190)
35562605;Samsung;Galaxy S III Mini (I8190)
35491605;Samsung;Galaxy S III Mini (I8190)
35753706;Samsung;Galaxy S III Neo (GT-I9301I)
35945906;Samsung;Galaxy S III Neo (GT-I9301I)
35665006;Samsung;Galaxy S III Neo (GT-I9301I)
35831606;Samsung;Galaxy S III Neo (GT-I9301I)
35684505;Samsung;Galaxy S IV LTE (I9505)
35719705;Samsung;Galaxy S IV LTE (I9505)
35584606;Samsung;Galaxy S IV LTE (I9505)
35780005;Samsung;Galaxy S IV LTE (I9505)
35954405;Samsung;Galaxy S IV LTE (I9505)
35558906;Samsung;Galaxy S IV LTE (I9505)
35866105;Samsung;Galaxy S IV LTE (I9505)
35763405;Samsung;Galaxy S IV LTE (I9505)
35750605;Samsung;Galaxy S IV LTE (I9505)
35818805;Samsung;Galaxy S IV LTE (I9505)
35737705;Samsung;Galaxy S IV LTE (I9505)
35713905;Samsung;Galaxy S IV LTE (I9505)
35584706;Samsung;Galaxy S IV LTE + (I9506)
35373706;Samsung;Galaxy S IV Mini (I9195)
35827005;Samsung;Galaxy S IV Mini (I9195)
35161606;Samsung;Galaxy S IV Mini (I9195)
35773705;Samsung;Galaxy S IV Mini (I9195)
